Quotes,Question
"To buy books would be a good thing if we could also buy the time to read them; but the purchase of books is often mistaken for the assimilation and mastering of their contents.","Buying vs. Reading Books"
"That which knows all things and is known by none is the subject.","Nature of the Subject"
"Life swings like a pendulum backward and forward between pain and boredom.","Life's Pendulum"
"Each day is a little life.","Each Day as a Life"
"We deceive and flatter no one by such delicate artificies as we do our own selves.","Self-Deception"
"They tell us that suicide is the greatest piece of cowardice... that suicide is wrong; when it is quite obvious that there is nothing in the world to which every man has a more unassailable title than to his own life and person.","Right to Suicide"
"What now on the other hand makes people sociable is their incapacity to endure solitude and thus themselves.","Sociability and Solitude"
"Marrying means doing whatever possible to become repulsed of each other.","Marriage and Repulsion"
"Life is a language in which certain truths are conveyed to us; if we could learn them in some other way, we should not live.","Life as Language"
"A man of business will often deceive you without the slightest scruple, but he will absolutely refuse to commit a theft.","Deception in Business"
"A man must have grown old and lived long in order to see how short life is.","Perception of Life's Shortness"
"The discovery of truth is prevented more effectively, not by the false appearance things present and which mislead into error, not directly by weakness of the reasoning powers, but by preconceived opinion, by prejudice.","Barriers to Truth"
"If you want to know your true opinion of someone, watch the effect produced in you by the first sight of a letter from him.","True Opinion of Others"
"Men need some kind of external activity, because they are inactive within.","Need for External Activity"
"Apart from man, no being wonders at its own experience.","Human Self-Reflection"
"What a person is for himself, what abides with him in his loneliness and isolation, and what no one can give or take away from him, this is obviously more essential for him than everything that he possesses or what he may be in the eyes of others.","Essence of Self"
"Consciousness is the mere surface of our minds, of which, as of the earth, we do not know the inside, but only the crust.","Surface of Consciousness"
"Time is that in which all things pass away.","Nature of Time"
